,fr,hr,fl,hl
127,3.8221544411489363,8.859315695002127,5.677184304600798,6.026300489015175
128,3.8656920902755996,8.365771408107094,5.777279786957806,6.064635346616493
129,3.8181435448261105,8.255543427957921,5.692388802694096,6.0278652512395166
130,3.778277105575903,7.980517541837475,5.854383687407236,6.601122065572586
131,3.75786933769284,7.935221177231723,5.792249747588182,6.823696638555338
132,3.783552155261078,7.993392647616468,5.888317878875516,6.776424228651862
133,3.760975847057387,8.083026412678521,5.9200724647029785,6.814919190667219
134,3.7299306291523884,8.006649122360207,5.8970176195785715,6.786578939632444
135,3.7258955922204113,8.121886763002113,5.885612669064235,6.592507340591252
136,3.8623619915016,7.912619108326688,5.873394854905278,6.315416581513045
137,3.88991162288599,8.622952020667995,6.093685942940498,6.385427563070092
138,3.7736088187386887,9.06009460092742,5.773941329892905,5.96973780498111
139,3.644556130820977,8.916388272595169,6.253384148339284,6.239475359044625
140,3.453131371628902,8.976593498003687,5.989098326080484,6.182639267409103
141,3.470441311254489,8.979185576890815,6.147398622868083,6.193377759396048
142,3.280970055549688,9.142903000742233,5.781617241257381,6.214823748832783
143,3.1995169373443098,9.12514362635365,5.856531144653123,6.146673014444853
144,3.3539812940734173,9.34130533697811,5.811787095674713,6.0646224691661725
145,3.26952829501893,9.155958620463165,5.836111901571549,6.558843904487642
146,3.4120809891187722,9.18506476998148,5.689498636118177,6.085721694983451
147,3.5901575729765414,9.183245103242585,5.467936966898612,5.9801529192085
148,3.53217705104524,9.17694805264143,5.610700050069251,5.988802364627296
149,3.572821929902574,9.180427467003298,5.496286427444204,5.99061693839364
150,3.3580908741079227,9.192425509060676,5.003782132075452,5.943997908015933
151,3.172763187736031,9.133156606275271,4.698915559939566,6.213428145031145
152,3.200840191735807,9.9018586647333,5.141246439568962,6.150340675713403
153,2.911181089311161,10.006043972469367,5.117329754282497,5.46053323773911
154,3.0872109563755146,9.972604587666128,5.140385382505713,5.570842613487488
155,2.9226109904388355,9.960585323907708,5.126828833424614,5.558813127133046
156,3.1001011040270487,10.023430558964321,5.123795402278672,5.56296097493156
157,2.881978829729503,9.889000078628143,5.152324591350427,5.582951418285328
158,3.212739186925993,10.144714488992566,5.083855592508378,5.546842938919905
159,2.4944482667253083,9.617519712032337,5.631903442787138,5.562438108898304
160,2.6280851823351696,11.54190018297098,6.425529215100783,5.519112669369497
161,2.2398361969965426,12.124406054911535,6.795344291465014,4.964739237601636
162,1.65683769914873,11.979059876029169,7.616784982900178,4.859580777293535
163,1.330787588443008,12.099539540157611,7.382110589289971,4.511146537807277
164,1.521152129168124,11.98940103115775,7.5955500980541695,4.617640504593346
165,1.3268757714867045,12.09776090226599,7.393584209160185,4.572264517499961
166,1.4626139243607923,11.976744509974814,7.593957279060589,4.577351762820294
167,1.3386979704868038,11.429133388190248,7.403150174000338,4.600964906919769
168,1.4258429794325944,11.295066771814001,7.776371404095425,4.556453552916125
